X,Y,ele,name,link_foto1,link_foto2,link_foto4,link_audio,link_foto3,cod_segnav,Tipologia,descrizion,Sch_all_4,N_new_sign,icon_url
13.6660260055214,42.3230999987572,988.350000000000023,SSSCC11,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/SSSCC11.0.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/SSSCC11.1.jpg,,,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/SSSCC11.2.jpg,,,,,,
13.6830939911306,42.3122470267117,1020.799999999999955,SSSCC12,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/SSSCC12.0.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/SSSCC12.1.jpg,,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-3/audioSSSCC12.ogg,,sign4,Segnavia da integrare,IMPLEMENTARE LA SEGNALETICA INSERENDO UNA FRECCIA DIREZIONALE FOTO 12,,"1",./0.png
13.6494360398501,42.3411559592932,1215.460000000000036,SSSCC3,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC3.jpg,,,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/audioSSSCC3.ogg,,sign4,Segnavia da integrare,"E' PRESENTE UNA PALINA DEL PARCO, METTERE SOLO LA FRECCIA COME DA SCHEDA ABIS ALLEGATA",,"1",./0.png
13.6530410125852,42.3392609786242,1185.660000000000082,SSSCC4,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC4.jpg,,,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/audioSSSCC4.ogg,,,,,,,
13.6556740198284,42.3363510333002,1147.210000000000036,SSSCC6,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC6a.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC6b.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC6d.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/audioSSSCC6.ogg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-1/SSSCC6c.jpg,sign5,Nuovo (vedere schede [4bis] allegate N°),VA MESSA UNA NUOVA PALINA PER SEGNALARE LA DEVIAZIONE DEL SENTIERO,www.camminodellabaronia.it/schede_all4/SSSCC6.pdf,"1",./1.png
13.6559089645743,42.3359000030905,1127.980000000000018,SSSCC7,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC7.jpg,,,,,sign6,segnaletica orizzontale presente,"paletto del parco presente ma molto interrato, quindi andrebbe riportato più in alto",,,./2.png
13.6575470399112,42.3339750152081,1049.640000000000100,SSSCC8,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC8a.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC8b.jpg,,,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC8c.jpg,sign6,segnaletica orizzontale presente,alla fine della parte ripida del sentiero è presente una condotta del gas con bandierina cai disegnata,,,./2.png
13.6663229763508,42.3243469744921,996.519999999999982,SSSCC9,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC9a.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC9b.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC9d.jpg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/audioSSSCC9.ogg,www.camminodellabaronia.it/Castelvecchio-SantoStefano/TRACCIA-2/SSSCC9c.jpg,sign5,Nuovo (vedere schede [4bis] allegate N°),VA MESSA UNA NUOVA PALINA PER SEGNALARE LA DIREZIONE DEL SENTIERO,www.camminodellabaronia.it/schede_all4/SSSCC9.pdf,"1",./1.png
