X,Y,ele,name,link_foro1,link_foto2,link_audio,link_video,cod_segnav,tipologia,descrizion,Sch_all_4,N_new_sign,icon_url
13.6580780334771,42.3397649824619,1226.519999999999982,CSSS12,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-3/CSSS12.jpg,,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-3/audioCSSS12.ogg,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-3/videoCSSS12.mp4,sign5,Nuovo (vedere schede [4bis] allegate N°),va integrata solo la freccia del cammino (vedi scheda allegata),www.camminodellabaronia.it/schede_all4/CSSS12.pdf,"1",./0.png
13.6459970287979,42.3452009819448,1235.410000000000082,CSSS13,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-3/CSSS13.jpg,,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-3/audioCSSS13.ogg,,sign5,Nuovo (vedere schede [4bis] allegate N°),va integrata solo la freccia del cammino (vedi scheda allegata),www.camminodellabaronia.it/schede_all4/CSSS13.pdf,"1",./0.png
13.6961120087653,42.3272779583931,1281.789999999999964,CSSS4,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-1/CSSS4a.jpg,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-1/CSSS4b.jpg,,,sign9,mettere nuovo paletto segnavia,mettere  dei paletti segnavia oppure integrare con segnaletica orizzontale a vernice,,"3",./1.png
13.6848149634898,42.3318399768323,1408.690000000000055,CSSS9,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-2/CSSS9.jpg,,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-2/audioCSSS9.ogg,,sign5,Nuovo (vedere schede [4bis] allegate N°),mettere una nuova palina con freccia,www.camminodellabaronia.it/schede_all4/CSSS9.pdf,"1",./0.png
13.70239159678,42.3277884300104,1217.000000000000000,CSSS1,,,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-1/videoCSSS1.mp4,,segn1,Segnavia in buono stato di conservazione,palina con freccia presente andrebbe pulita dalle erbe sottostanti,,,
13.699834998697,42.3273789603263,1234.000000000000000,CSSS2,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-1/CSSS2.jpg,,www.camminodellabaronia.it/Calascio-SantoStefano/TRACCIA-1/videoCSSS2.mp4,,sign6,Segnaletica orizzontale presente,,,,./2.png
